sentiment,content
sadness,"i just had to empty my trash on the mac. that was one of the most difficult things i have ever done in my life. 8,00 pictures are gone."
sadness,just got home! not wanting to read the last chaper of breaking dawn cause i dont want it to be over
worry,aww..  pray for the arroyo family everyone!
neutral, there is a manual process.. but it is taking 4ever on my outlook database.. pff. crappy msft product
sadness,fuudge. movie store is closed
sadness,alo is so sad and quiet and empty tonight
worry, you never answered your dm i sent you..  i need your info..
worry,am trying to get through the pilot of the first season of friday night lights. oh gosh  pass the tissue..
sadness, aw where are you headed to? i just cancelled my trip to aussie
worry,i have cystic lacrimal infectection?? my eye and face are swollen and it hurts!!
worry, i did not think anyone caught that
neutral,oh nevermind i think this thing is unsalvageable
neutral,"lyin in bed, up faar too early"
sadness,sad that christian lacroix had to file bankruptcy
sadness,i dont feel good at all. fuckk
worry,looks like i will never go to the zoo
worry, ohh poor girl  i will email her.. i am relying on you being here in october mr!!
neutral,when will medhurst play again?
worry, bad times?
sadness,have to go to the dreaded dmv tomorrow
happiness,english class! working on interactive orals
worry, thank you for the rec but that does not work
neutral,  i am sorry. excited for tomorrow night? karaoke!! getting anything special for bday?
worry,i do not know how ima work out tomorrow wit my body dis sore  ugh
neutral," yeah, plus it is just a little too far to walk to pinocchio is for sushi"
worry,i am feeling this pressure in my head that always kicks in just before a nasty headache. i am not looking forward to this.
sadness,taylor swift and joe jonas looked really good together. i am kinda sad they broke up.
worry,i am suppose to turn in a sentence outline for my research paper within the hour online but my neck hurts.
worry,"lady across the way had a miscarriage, say a prayer"
sadness,god i just want to sleep.
worry,i feel so deflated. no more doggy.
worry,is feeling bad  just got bad news about my mum
sadness, but but i dun wanna
sadness," dbl boo for being sick, flippin blows! .. bahaha i kno i dont have many friends on here either. i feel so lame  haha"
neutral, thats what i was thinking but the only time it is gonna be on is 1 am!
worry,do not feel like working  i think i tweet this too often!
sadness,feels sick to my stomach and idkk whyy
worry,vineri..nimic special sau probabil un alt weekend pierdut..
neutral,counting the hours of lost sunshine until the weekend
sadness," um, i was thrown from  is van yesterday and had to be taken to the er"
worry,"got to final table, but..went out third.  do not think i will be getting my free seat"
neutral,good morning work this morning gutted lol nevermind
sadness,  the link does not work
neutral, hahaha i do not know anyone or anything about it except they have powers lol.. i live in my own bubble
worry,the humpalow um ya i think so.. cell is dying
worry,last day at work..sick to the bone
worry,i feel like i am on house arrest.
neutral,"love is like a war,,easy to begin, hard to end..fiuuhh.."
surprise, ur supposed to be in bk tho
worry, did you know that there is a shortage of shells for crabs to use on the beach due to beach combers? it is very sad
surprise,oh no!  nighty night.
happiness, must.. have.. new music.. i wo not sleep until you give us chapter 1.. i might die first though..  hurry!
sadness,my stupid tooth hurts
sadness, my computers broken and i broke my laptop so i had to use the phone  ahh still on he cause they fucked up my order.
neutral, it is good is not it! our holiday chalet is out of sight but look v similar to those ones. going home again today
worry,it is a sad economy. just heard of another friend losing their job.  so sad. but just a reminder that..
worry, i am just starting to feel really panicky and anxious that something bad has happened cos it seems like it is been ages
worry,my dog ran awayy
worry,"i am back. top molar extracted  swollen face, all numb.  but no more toothache or sinus pain."
love,i want to go to peru this summer ahh! hopefully! yesyesyes! i miss it over there!!
sadness,i am awake. anybody else awake? wish i lived in the us since all the fun happens when i am asleep!
sadness, heehee. i love you! i am tired.
worry, oh how i wish you would get her to sign something then send it to me or let me call you when you meet or something
worry," hmm, i thought u were sleeping!! too bad i ca not see those videos until tomorrow night."
sadness,"morning everyone sorry for going early last night had bad news, felt totally crap  today is a new day"
sadness,"how i wish my parents put me into a chinese school when i was younger. then, it will be so much easier for me to get a job.."
neutral, airport? and you didnt show up tonight homo!
worry, jealous  it looks like schindler is list in toronto
sadness,  being in your room makes me sad.
worry,"nearly fell asleep, but was jolted out of bed by a massive panic attack and now i am not sure if i can sleep at all."
neutral,for the gays i only made 200 tonight
sadness,"if one people did any wrong, the world blames all the people over there, this is the great world which we are living in!  shit!"
surprise, nope.  they are all sleeping cuz they live on the east coast.
neutral," i bet its cool down in sr, huh? it is not here. i have not stopped sweating since noon when dad and i were packing"
neutral,decided 2 trans frm relaxed 2 natural hair but i wish my whole head looked like my roots.  age of the instant gratification..
sadness," sorry bout the cat,"
worry,my stomach feels like it is touching the ground..i am so full
love,pug just woke me from an incredible sleep!
love, i ca not wait to hear your new album. i am sure will be amazing.please just replay to me  i love you so much!!
worry,soo much work so little time
sadness,missed iron chef
sadness, the ds version sucks
sadness,what a bad day
worry,"ugh, my internet was down!"
worry,is feeling so giddy and wanna go home.
neutral,the week just wasnt the same without an adam lambert performance!!
neutral, the link does not work
worry,up and packing. its the last day of youth camp
neutral,"gossip girl, when are you coming back  ! chacee.."
worry,somebody please save the polar bears!
happiness, noo i just look at a lot of pictures  lol lol
surprise, not really sleepy ..bored is the right word .. again not much work
sadness,went to the cd store to search for the cd. but
worry, reminds me of the weather a month ago it was horrible  i hope all is well hugs
love,there is really no android twitter app of tweetie is calibre
neutral," no, it is not.."
sadness, i feel the same way every day
sadness,ca not sleep. sucks. the one day i have to sleep in and i have to get up and go shopping with mom. ugh.
neutral, well i just got home and its not on till tmw at 530p but with comcast its on right now  but i didnt miss it
sadness,sleppytime. really missing my godfather right now. love you wayne
sadness,so have a headache right now and it sucks
worry, hope ya sleepin well  guys still here
sadness," lakers, baby lakers!! i will miss the game tmwr. i have to work  you will have to keep me posted please"
worry,damn being drunk and hot sucks
sadness,misses my baby.
worry,is not sleeping because he has paperwork to do.
worry,"midnight cry.. wish the person i wanted, wanted me right now"
neutral, i ama need you to follow me real quick cause i ca not dm you
sadness,i am poorly and ca not sleep
worry,went to pole class. feeling discouraged. i am hopeless when it cones to dancing or sexy moves or spreading my legs.
worry,  if i told you how often i wash my hair you would never speak to me again
worry,"looks like another sleepless night dedicated to homework. sorry in advance, ms. chapman."
worry,didnt say goodnight to you
sadness,has work tom.
neutral,ca not sleep and nothings on tv!!
love,"the pics i just uploaded are the baby pics of my cats. missy is now an adult and a pretty little kitty, but batty is in kitten heaven now"
sadness,today we say goodbye to the second good friend in a week from dmp  but at least the sun is shinning and i am definately not working this pm
worry, i met a stranger just 10 min ago. he was stalking me at the store
surprise,  tee we beefin..what was u supposed to do before leavin??
sadness,sometimes the things you say hurt the ones you love most unintentionally.  and you can never ever take it back or fix it.
sadness, that sucks!
neutral, ii know!! and mean
sadness,having fever  dont feel to work
worry,"taking horse pills, hoping i can get some sleep tonight"
neutral, pgpm student from where? i myself was a pgpm student about 4 years back. i wish i could stay one
sadness,missing ..6 days ca not pass quick enough
sadness,"working from home today, my back is killing me  doctor and then physio after later today."
neutral,back to work.. with no distractions..
happiness," demi, just say hi to me and it is enough. just replay to me please  love you so much!!"
neutral," that sucks  well state starts tomorrow so im headin 2 bed, nitey nite"
worry,"looks like it is going to be too nice to work today, how annoying as i have no choice"
neutral, did you guys keep a set list? i forgot to ask for one  xx
worry,is desperatly hoping my dad takes me to vanessa is game
worry, hi!  fuck your job!
sadness,missing you all deeply
neutral,"the time you go to bed,  i have to get up to go to work"
happiness," big now!! vanessa is going to be 3 in september, its going by so fast!  its hard cuz im workin so much, i miss out on alot"
sadness," sniff sniff  take care ravels! hopefully we will be chatting again soon. in the mean time, i will hella miss you."
neutral," lucky, now i want to teleport"
worry,somebody please save the polar bears!
sadness,i do not want her to leave..
happiness,"good lord, just seen the agency work for our upcoming open day. money for jam"
worry, so i feel like shit for saying happy belated birfdayy.. i am only a month late
sadness," lmao..thats sad, kinda discourages me 4rom goin if the shit is wack"
sadness, i wish i was there
neutral,fc is finally up again. it is about time. i hate that this keeps happening
neutral,seriously bored without anyone to talk to.. but not tired enough for sleep
sadness,morning again! i hate mornings. so offensive!
neutral, still!! give your computer a break omg
sadness,bed bed bed  do you never answer texts anymore?  i thought of you the other day and sent one but never heard back. sad day
neutral,where u at?
sadness, waah. we are no longer your peeps.
sadness, lol wow dawg does not sound like you are playing!  i feel bad now haha
surprise,extremly deep
happiness,my little foster kittens are getting big..chubba and winston are going 2 b missed when they get amazing homes.
neutral, i am not at home with my cats right now!
worry,hoping i did not fail english. that would just be sad
neutral,leno is last show was tonight.  i like him better than conan.
sadness, i am sorry about your bad driving experiences.
neutral, i do not have any of that
sadness,already misses 
surprise, there is relisting fees when you do not complete a sale?  that sucks!
neutral, random has an a
neutral, july.. too long
worry, aww i wish i could have been there  i am stuck here about to jab out my eyes with knitting needles
surprise, me too.  wonder if mnet will show it..
neutral,wearing glasses gives me a headache.
worry,"finished sewing for the night, uploading pictures from slidebar and beach. i cant believe i am having difficulties with twitter!"
sadness,"first my work computer, now my home laptop is fucked."
worry, i know. we came back from 22 down in the 1st just to lose the lead in the last 6 minutes.
worry,gosh.. summer vacation is almost over here at the philippines.. kinda sad..  i wonder what section will i be in?
neutral," but  is on page 6 at ms twitterworld, only 26 votes"
worry,i am bummed that i ca not wear my sweet nike kicks to work.
neutral,sleep..good night tweeties!! down to oc tomorrow. i hope and pray that rachyl gets better soon!!
sadness, it is depressing i am stuck inside all day
sadness,i hate being sick. i miss  and 
sadness,"woke up,i wanna stay in my bed"
worry,depressed that i was not included in the morcom gardens quiz on facebook
worry," yeah, its still totally in the high 60s here. soo notlooking forward to aug and sept up here"
sadness,upsidedown tomato plants died!
worry, oh come on!! you get next week off and i get next week full of exams!
neutral,"friday here at last, not much fun when your skint though"
worry," i know, do not tell anyone  i dont know if my dad told the famz yet. i think i am taking it online."
happiness,"friday yay!! and a bonus, do not have to drive to wales tonight.  athough will miss kitten cuddles and going for a ride"
worry,my children have promised me birthday brekkie in bed. there is a problem with that in that there is bugger all food in the house
worry, woops! i only just realized my dms to you are not going through
neutral,i do not think i will be able to get out of bed tomorrow morning  we will see!
surprise,i cant use my blackberry today. this sucks.
neutral,the times they are a changing
sadness, why do you hate me!?
neutral, video is not available to us foreigners
worry, pc i agree..  we have a problem. we must stop spending and only work!!
neutral,waiting to get picked up!
sadness,so exhausted..ca not sleep. i do not like these nights
sadness,i am gonna miss all the live comet action tomorrow! i have to go take care of my cousins and they do not have access to the interwebz
surprise,lol i cant drink!!
surprise,"if bill compton has wii, why ca not he have twitter?"
sadness, sorry to hear that.
sadness,just found out i ca not drink at this bar! boo missing e1 at palomino is! no cheers sad face
worry,omg going to die of swine flu when i go to melbourne
neutral,"  dang it, so its not certain ? ? ? are you okay?"
sadness,finished a whole box of ice cream
neutral,someone make me a coffee..
neutral,my nose is stuffy
neutral,last night in newport
happiness,"ok, other then my shoe, the club is cool. its fun, and its poppin except 4 the ppl tryna dance wit me"
worry,holy crap! it is raining in la and i do not have a jacket!  oh no.
neutral,aright twitter fam.. guess ima be outties.. gonna try n sleep off some of this horrible pain
neutral,baby was not herself after recieving vaccines
worry,"wish i could attend e3 this year. but these small events like the nba and stanley cup finals keep getting in the way.  work, work, work."
sadness, btw i am not a wimp
worry,rejecting all food substances.
worry," no i was trying to interview dr paul twomey, ceo of icann. phone issues cut the interview from 30 mins to 15."
sadness, i ca not add you on myspace girly  it asks for a last name and email
worry, do not think i can take a needle. watched a horribly gory short film on drugs a few months ago. i am scarred for life.
sadness,i do not wanna go back to work  sleepy time.
worry, it feels not good.
neutral,watching the biggest loser on hallmark. never fails to make me cry  nyeh.
neutral, that sucks!  how old are you actually?
worry,thinking about getting up for work
neutral,still confuse..
worry,i was a very naughty girl tonight. dissappointed with myself
worry, that is better than missy 8 telling me i should be on the biggest loser
surprise,  aahh !!  soo sweet !!  i miss that age .. soo much !
surprise,just saw a fox!  as i was getting on the freeway.. i hope it goes home
surprise,recapping on britains got talent. britain seems more talented than america
neutral, swimming is a no go for me
sadness," morning john, yes i do, however i have a diary clash and sadly ca not attend!"
sadness,i miss my friend
neutral," ohh ic ic haha, iyaa my summer is filled with one course that lasts for the whole summer"
sadness,yea i just saw this really sad commercial
neutral,
neutral, unfortunately not
worry, my new lens is not working. it worked for a bit and now gives an fee error
sadness,hates having to sleep alone
neutral,
worry,"back at school again. almost weekend. oh wait, i gotta work from eight to four tonight"
sadness,i loved johnny carson now i am going to hate seeing jay leno go
worry,  i think i do it too much..
sadness, ya. i was suffering the whole day yesterday. met dentist and feel a bit better. i still look like rocky balboa though
worry, i did not end up really eating  had more snacks. sigh
surprise,finally..the internet is up. the server is down in phoenix and it was fucked up.
neutral,ups ketauan cabut nih gimana dong
sadness,i did not get a callback for the play i cried..  oh well i guess it is back to being a techie..
happiness, awesome! wish i could fly out to see her
sadness, i kinda wish i went with you now!.. i ca not fall asleep
worry,"at rocky cola diner in whittier tonight with teacher pal mr. b, we had a great time chatting but no one else came.."
neutral,off to bed!! still exhausted from vegas
love," lol, very true. maybe next year. i looved that siggy, and i do not remember what the password for the mod thing was  cake?"
neutral,took a 4 hour nap after work today and wo not be able to sleep all night  this is a bummer
neutral,loving lil ken and absolutely dreading saying goodbye in less than a week
sadness, not yet.. sorry
worry, i thought i was your best friend?
sadness,fall asleep on me again  but i know how it feels now lol. drag me to hell tonight! quite excited
worry,god i cant even catch public transport. swine flu is shit house
worry,"dad just said that our trip to uk is cancelled, due to da swine flu. oops! sorry abang."
love,hahaha! alright  ..
happiness,someone take me to la  i need to see the lemon tree
sadness,tummy ache.
worry," youre so far away, i do not know what to do.."
happiness," who is the one always working now?  oh yeah, still me."
neutral, unless that invite comes with a beta key i am not going to be much help..
neutral, not where i live.
sadness," i am sorry, andrew. i wish there was something i could do.."
sadness,as if i finsh work at eleven.. is that even allowd?  cauz i really dont want to.. lol
sadness," i am not at chaseton is either  please do not die, my heart will be really sad"
happiness,that was an interesting show to say the least. recap tomorrow. first i must sleep. work in am.
worry, o its feels like a hot box and no matter where i go in here it still feels like a hot box! ice cream is not working n e more
worry,very sad.. please get better grandma
worry, uugh  i hate everything
worry,"is taking a moment to reflect..i want my annonymity back,fb!!  is it safe to say anything about someone else to another friend again?"
neutral,"damn, hi facebook ? what is wrong with you ? ca not add photos"
surprise,"aku kbangun gara2 mimpi , very bad dream"
neutral," i dont even have a wii! b likes xbox, so that is what we have  do you use it?"
sadness,"i ca not sleep, this is so darn frustrating."
neutral, i didnt get to see it tonight
sadness, just one of those days where loneliness creeps up on you slaps you in the face.
sadness,rip kelly  fucck
worry, well i do not have vacations so let is not go there
love, love it! by the way i did not end up having time to go this week  i am soo sorry! next week for sure!
neutral,2nd to last episode of jay leno  itll never be the same!  nite twitter
sadness,not feeling too good
sadness,ok. time to nodd off its gonna be a long day tomorrow. saying goodbye to my car for good
sadness,i miss oklahomaa  listening to citizen cope til i pass out.
neutral,so tense..so emotional..so not me..
worry, that makes me sad for you
neutral,playing the game of watching straight people hook up but ca not leave because of another reason
neutral, yeah work today  never mind only one day then sun sun sun..
worry,feels like im going to cough up a lung
sadness,its funny. i am kinda sad on my last day
neutral, i do not think it was either. but i ca not remember it.
sadness,jenny fell asleep and did not come over
worry, why do we love those that we cannot have?
sadness,wishes you had teased me with movie night
worry,"i lost 4 followers over night, nobody likes me"
worry,"this time, i really need to shut it.. i am going to sleep! my head aches badly and i really ca not take it.."
sadness, i love it to.. but i knw there gna cut stuff out on tv
neutral, becuz you braggin
sadness, i do  but im on a strict diet. . . ugh i feel like if i cheat for one day ill throw everything up.
worry,"oh no, hubs is so sick! i hope i do not catch it"
neutral, ze franz has not friended me  i think they think i am a creepy stalker or sommat. hmph.
worry,ran out of money. i r a sad panda
sadness,"so cal dachshund rescue found a home for my foster pup, max. i am soo sad to see him leave"
sadness,wow i feel like ish  and i really feel bad because those ignorent aholes wont overturn prop 8
sadness,"off to work now, finish about 9pm  boo."
sadness,wishes you had not teased me with movie night
neutral,"dont know why so tired today  bye, time for beddy"
sadness,"maybe i should take up drinking again, feel as if i have a ,massive hangover  still not ,yself today"
worry,i have a really bad head ache  gonna go to bed i might be back maybe not bye bye
worry,friends from traveller is tales held a farewell party for me but i kinda disappointed them that i would still be here until sep. my fault.
neutral," ooh maggi goreng. yums. i cant eat, sore throat cmin"
neutral, morning hon. what you having for breakfast? i cant decide
sadness,should be sleeping.  lost my voice a couple day ago.
neutral,did i mention my bf bubbled the wsop employees event after 12 hrs with aa  working doubles  now for the next 6 weeks
sadness,i was too sleepy earlier and i didnt get to see matt
love,big day 2day the xt launch was amazing! so much free stuff thanx 2 the edge and telecom! found the phone i want..cnt afford it yet tho
worry," oh yeah, i am the poorest person of all. but i shouldnt joke about that, poor other people"
neutral, but now it is gone
worry, oh  well i hope she gets better
worry, who are the crew? please dont be me..  i dont think it is but i could be wrong i have been a number of times..
sadness,how to have a glowing face? my complexion is always so pale
sadness,"downloadfestival is lineup is not as good as i thought it was. there are some other awesome bands doing the festivals, but missing dl"
worry,have not watched gossip girl in agees ! and need one tree hill season 3 . god i am so slow
love," i hate you , fleetwood is my favorite band..i am so jealous  ok i still love you haha"
surprise,so wish the carlton game was on live  stupid channel 7 lol.
worry,"up early again tomorrow.. heading to bed now. i keep saying i am going to take a midday nap, but it has not happened this week yet.."
neutral,ups ketauan cabut sama  nih
